league,season,team,players_used,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,url
ENG-Premier League,2526,Crystal Palace,29,35,37,412,131,31.8,11.77,3.74,0.07,0.23,7,7,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,36,44,402,137,34.1,11.17,3.81,0.1,0.31,2,2,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2526,Fulham,24,36,40,447,127,28.4,12.42,3.53,0.08,0.28,4,4,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,36,47,457,147,32.2,12.69,4.08,0.09,0.28,6,8,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,36,58,548,162,29.6,15.22,4.5,0.1,0.35,1,2,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,35,69,550,193,35.1,15.71,5.51,0.12,0.34,3,4,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,36,60,555,200,36.0,15.42,5.56,0.1,0.28,4,6,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2526,Newcastle United,25,36,50,470,167,35.5,13.06,4.64,0.09,0.26,6,6,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham Forest,31,36,44,450,147,32.7,12.5,4.08,0.09,0.28,3,3,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,36,34,368,121,32.9,10.22,3.36,0.08,0.25,4,5,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2526,Tottenham Hotspur,31,36,45,406,141,34.7,11.28,3.92,0.11,0.32,0,0,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham United,32,36,40,373,125,33.5,10.36,3.47,0.1,0.3,3,3,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,30,36,24,342,116,33.9,9.5,3.22,0.06,0.19,2,4,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
ESP-La Liga,2223,Almería,29,38,49,439,155,35.3,11.55,4.08,0.11,0.3,2,3,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
ESP-La Liga,2223,Athletic Club,26,38,46,541,157,29.0,14.24,4.13,0.08,0.26,5,7,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
ESP-La Liga,2223,Atlético Madrid,27,38,68,538,195,36.2,14.16,5.13,0.12,0.34,1,1,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
ESP-La Liga,2223,Barcelona,29,38,69,570,187,32.8,15.0,4.92,0.12,0.37,0,2,/en/squads/206d90db/2022-2023/Barcelona-Stats
ESP-La Liga,2223,Celta Vigo,26,38,41,470,160,34.0,12.37,4.21,0.08,0.24,2,3,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
ESP-La Liga,2223,Cádiz,38,38,29,390,108,27.7,10.26,2.84,0.06,0.23,4,5,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
ESP-La Liga,2223,Elche,32,38,30,400,124,31.0,10.53,3.26,0.07,0.21,4,5,/en/squads/6c8b07df/2022-2023/Elche-Stats
ESP-La Liga,2223,Espanyol,33,38,51,417,151,36.2,10.97,3.97,0.11,0.3,5,5,/en/squads/a8661628/2022-2023/Espanyol-Stats
ESP-La Liga,2223,Getafe,25,38,34,365,116,31.8,9.61,3.05,0.08,0.25,5,8,/en/squads/7848bd64/2022-2023/Getafe-Stats
ESP-La Liga,2223,Girona,29,38,55,446,160,35.9,11.74,4.21,0.11,0.29,8,9,/en/squads/9024a00a/2022-2023/Girona-Stats
ESP-La Liga,2223,Mallorca,31,38,36,324,107,33.0,8.53,2.82,0.1,0.3,4,5,/en/squads/2aa12281/2022-2023/Mallorca-Stats
ESP-La Liga,2223,Osasuna,26,38,36,441,133,30.2,11.61,3.5,0.07,0.24,4,5,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
ESP-La Liga,2223,Rayo Vallecano,28,38,41,510,146,28.6,13.42,3.84,0.07,0.25,4,8,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
ESP-La Liga,2223,Real Betis,30,38,43,411,138,33.6,10.82,3.63,0.09,0.25,8,9,/en/squads/fc536746/2022-2023/Real-Betis-Stats
ESP-La Liga,2223,Real Madrid,26,38,73,634,206,32.5,16.68,5.42,0.1,0.31,9,12,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
ESP-La Liga,2223,Real Sociedad,30,38,47,465,173,37.2,12.24,4.55,0.1,0.26,2,4,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
ESP-La Liga,2223,Sevilla,35,38,47,463,141,30.5,12.18,3.71,0.09,0.3,4,5,/en/squads/ad2be733/2022-2023/Sevilla-Stats
ESP-La Liga,2223,Valencia,28,38,40,480,140,29.2,12.63,3.68,0.07,0.25,5,8,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
ESP-La Liga,2223,Valladolid,36,38,32,443,137,30.9,11.66,3.61,0.07,0.21,3,4,/en/squads/17859612/2022-2023/Valladolid-Stats
ESP-La Liga,2223,Villarreal,32,38,57,499,188,37.7,13.13,4.95,0.11,0.28,4,7,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
ESP-La Liga,2324,Alavés,30,38,33,458,136,29.7,12.05,3.58,0.07,0.22,3,7,/en/squads/8d6fd021/2023-2024/Alaves-Stats
ESP-La Liga,2324,Almería,35,38,42,478,163,34.1,12.58,4.29,0.08,0.25,2,2,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
ESP-La Liga,2324,Athletic Club,27,38,59,458,163,35.6,12.05,4.29,0.12,0.34,3,5,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,27,38,68,475,197,41.5,12.5,5.18,0.13,0.32,5,6,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,29,38,76,588,219,37.2,15.47,5.76,0.12,0.32,6,7,/en/squads/206d90db/2023-2024/Barcelona-Stats
ESP-La Liga,2324,Celta Vigo,31,38,45,467,151,32.3,12.29,3.97,0.09,0.28,3,5,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,34,38,25,395,120,30.4,10.39,3.16,0.06,0.18,3,3,/en/squads/ee7c297c/2023-2024/Cadiz-Stats
ESP-La Liga,2324,Getafe,33,38,42,446,150,33.6,11.74,3.95,0.08,0.24,6,7,/en/squads/7848bd64/2023-2024/Getafe-Stats
ESP-La Liga,2324,Girona,25,38,84,476,178,37.4,12.53,4.68,0.16,0.43,7,8,/en/squads/9024a00a/2023-2024/Girona-Stats
ESP-La Liga,2324,Granada,40,38,35,394,123,31.2,10.37,3.24,0.08,0.24,5,8,/en/squads/a0435291/2023-2024/Granada-Stats
ESP-La Liga,2324,Las Palmas,29,38,33,386,120,31.1,10.16,3.16,0.08,0.25,3,5,/en/squads/0049d422/2023-2024/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,25,38,33,415,131,31.6,10.92,3.45,0.08,0.24,1,3,/en/squads/2aa12281/2023-2024/Mallorca-Stats
ESP-La Liga,2324,Osasuna,29,38,45,421,124,29.5,11.08,3.26,0.1,0.33,4,5,/en/squads/03c57e2b/2023-2024/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,26,38,29,487,160,32.9,12.82,4.21,0.05,0.14,6,6,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Betis,35,38,46,489,150,30.7,12.87,3.95,0.09,0.29,2,3,/en/squads/fc536746/2023-2024/Real-Betis-Stats
ESP-La Liga,2324,Real Madrid,27,38,85,593,242,40.8,15.61,6.37,0.14,0.34,2,5,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,31,38,48,457,147,32.2,12.03,3.87,0.1,0.3,4,4,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,35,38,46,487,160,32.9,12.82,4.21,0.09,0.28,2,2,/en/squads/ad2be733/2023-2024/Sevilla-Stats
ESP-La Liga,2324,Valencia,29,38,39,368,123,33.4,9.68,3.24,0.08,0.25,8,9,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
ESP-La Liga,2324,Villarreal,32,38,64,462,163,35.3,12.16,4.29,0.13,0.36,5,7,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
ESP-La Liga,2425,Alavés,29,38,38,393,123,31.3,10.34,3.24,0.07,0.24,9,11,/en/squads/8d6fd021/2024-2025/Alaves-Stats
ESP-La Liga,2425,Athletic Club,31,38,53,462,148,32.0,12.16,3.89,0.11,0.34,3,6,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats
ESP-La Liga,2425,Atlético Madrid,24,38,68,463,174,37.6,12.18,4.58,0.13,0.36,6,7,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
ESP-La Liga,2425,Barcelona,28,38,99,670,240,35.8,17.63,6.32,0.14,0.38,7,8,/en/squads/206d90db/2024-2025/Barcelona-Stats
ESP-La Liga,2425,Celta Vigo,30,38,58,442,167,37.8,11.63,4.39,0.11,0.3,8,9,/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats
ESP-La Liga,2425,Espanyol,27,38,38,351,98,27.9,9.24,2.58,0.09,0.34,5,5,/en/squads/a8661628/2024-2025/Espanyol-Stats
