league,season,team,players_used,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,url
,2223,Freiburg,27,34,62,2,1,404,424,57,547,325,289,7,6,0,/en/squads/a486e511/2022-2023/Freiburg-Stats
,2223,Gladbach,27,34,62,3,1,338,447,72,441,267,275,3,6,1,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats
,2223,Hertha BSC,32,34,82,1,1,422,394,58,516,366,344,4,6,0,/en/squads/2818f8bc/2022-2023/Hertha-BSC-Stats
,2223,Hoffenheim,31,34,80,5,3,471,368,78,577,285,323,7,3,1,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats
,2223,Köln,27,34,75,3,3,400,352,68,790,372,370,2,5,3,/en/squads/bc357bf7/2022-2023/Koln-Stats
,2223,Leverkusen,27,34,75,7,3,382,409,51,461,294,280,6,7,2,/en/squads/c7a9f859/2022-2023/Leverkusen-Stats
,2223,Mainz 05,27,34,69,1,0,476,334,74,610,433,341,5,8,0,/en/squads/a224b06a/2022-2023/Mainz-05-Stats
,2223,RB Leipzig,25,34,69,2,1,393,402,80,489,310,312,5,8,2,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
,2223,Schalke 04,35,34,68,1,0,427,391,70,764,306,329,3,6,1,/en/squads/c539e393/2022-2023/Schalke-04-Stats
,2223,Stuttgart,30,34,72,5,4,346,407,56,597,308,316,4,6,1,/en/squads/598bc722/2022-2023/Stuttgart-Stats
,2223,Union Berlin,28,34,65,2,1,445,345,62,708,262,278,4,7,0,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats
,2223,Werder Bremen,25,34,76,1,0,426,369,65,514,321,349,3,3,2,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats
,2223,Wolfsburg,28,34,63,0,0,390,451,50,568,292,324,6,7,3,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats
,2324,Augsburg,29,34,71,3,1,454,338,81,631,295,319,5,10,2,/en/squads/0cdc4311/2023-2024/Augsburg-Stats
,2324,Bayern Munich,30,34,47,2,1,304,306,60,655,288,323,2,4,0,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
,2324,Bochum,25,34,97,2,0,446,409,83,649,308,366,4,11,4,/en/squads/b42c6323/2023-2024/Bochum-Stats
,2324,Darmstadt 98,32,34,83,4,0,429,351,57,514,317,323,2,2,2,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats
,2324,Dortmund,32,34,59,4,2,315,391,44,522,251,356,5,6,2,/en/squads/add600ae/2023-2024/Dortmund-Stats
,2324,Eintracht Frankfurt,34,34,70,5,4,355,318,51,557,302,359,2,11,0,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats
,2324,Freiburg,25,34,64,4,1,364,376,52,593,272,319,7,5,1,/en/squads/a486e511/2023-2024/Freiburg-Stats
,2324,Gladbach,27,34,66,2,1,337,372,53,574,333,337,4,6,0,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats
,2324,Heidenheim,22,34,54,1,0,442,325,38,663,302,352,1,10,3,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats
,2324,Hoffenheim,30,34,86,5,4,339,366,52,603,357,304,5,5,1,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats
,2324,Köln,26,34,71,4,3,418,364,53,779,305,375,5,3,0,/en/squads/bc357bf7/2023-2024/Koln-Stats
,2324,Leverkusen,24,34,59,0,0,305,342,73,586,224,277,7,0,0,/en/squads/c7a9f859/2023-2024/Leverkusen-Stats
,2324,Mainz 05,30,34,99,3,1,473,410,59,633,346,328,4,4,1,/en/squads/a224b06a/2023-2024/Mainz-05-Stats
,2324,RB Leipzig,26,34,61,1,1,354,388,67,608,240,317,7,5,1,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
,2324,Stuttgart,27,34,56,1,1,329,373,50,537,269,316,7,3,3,/en/squads/598bc722/2023-2024/Stuttgart-Stats
,2324,Union Berlin,30,34,67,7,3,402,339,61,662,305,352,3,7,1,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
,2324,Werder Bremen,30,34,73,2,0,396,396,70,543,284,351,5,6,1,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats
,2324,Wolfsburg,28,34,86,5,2,415,412,41,593,268,303,3,3,3,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats
,2425,Augsburg,29,34,78,5,2,351,373,59,578,341,300,2,5,2,/en/squads/0cdc4311/2024-2025/Augsburg-Stats
,2425,Bayern Munich,29,34,48,1,0,295,341,56,612,232,300,6,2,0,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
,2425,Bochum,27,34,71,2,1,465,293,63,679,294,360,3,6,0,/en/squads/b42c6323/2024-2025/Bochum-Stats
,2425,Dortmund,28,34,71,6,3,330,343,43,698,249,319,5,4,1,/en/squads/add600ae/2024-2025/Dortmund-Stats
,2425,Eintracht Frankfurt,26,34,55,1,1,341,304,57,539,287,341,2,3,2,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats
,2425,Freiburg,26,34,54,2,1,316,325,61,589,276,317,3,4,1,/en/squads/a486e511/2024-2025/Freiburg-Stats
,2425,Gladbach,26,34,53,3,2,339,326,65,617,317,284,5,8,2,/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats
,2425,Heidenheim,27,34,66,1,0,385,390,50,581,312,356,3,6,0,/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats
,2425,Hoffenheim,35,34,66,2,0,391,366,70,732,291,336,2,6,3,/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats
,2425,Holstein Kiel,27,34,77,4,2,407,350,44,482,294,328,4,7,3,/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats
,2425,Leverkusen,23,34,62,1,1,325,352,64,735,234,259,5,4,4,/en/squads/c7a9f859/2024-2025/Leverkusen-Stats
,2425,Mainz 05,25,34,71,5,3,408,329,78,658,352,325,3,5,0,/en/squads/a224b06a/2024-2025/Mainz-05-Stats
,2425,RB Leipzig,29,34,68,5,2,376,333,83,563,268,333,4,3,0,/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats
,2425,St Pauli,28,34,53,4,3,353,352,66,600,257,315,2,5,1,/en/squads/54864664/2024-2025/St-Pauli-Stats
,2425,Stuttgart,29,34,72,5,3,358,411,62,637,298,282,4,3,1,/en/squads/598bc722/2024-2025/Stuttgart-Stats
,2425,Union Berlin,28,34,72,1,0,419,313,67,608,312,318,3,6,1,/en/squads/7a41008f/2024-2025/Union-Berlin-Stats
,2425,Werder Bremen,23,34,75,4,3,335,402,72,667,315,321,4,3,3,/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats
,2425,Wolfsburg,27,34,75,3,0,350,366,49,574,312,301,4,3,1,/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats
,2526,Augsburg,29,33,81,1,1,368,365,69,599,281,322,,,2,/en/squads/0cdc4311/Augsburg-Stats
,2526,Bayern Munich,32,33,57,2,1,293,287,78,534,278,268,,,0,/en/squads/054efa67/Bayern-Munich-Stats
,2526,Dortmund,27,33,63,2,0,391,319,40,647,262,301,,,0,/en/squads/add600ae/Dortmund-Stats
,2526,Eintracht Frankfurt,28,33,60,4,4,338,304,42,488,311,331,,,1,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
,2526,Freiburg,26,33,51,3,1,305,387,66,581,277,262,,,1,/en/squads/a486e511/Freiburg-Stats
,2526,Gladbach,28,33,56,3,0,356,341,62,518,314,323,,,2,/en/squads/32f3ee20/Monchengladbach-Stats
,2526,Hamburger SV,31,33,76,8,5,391,408,59,525,290,297,,,0,/en/squads/26790c6a/Hamburger-SV-Stats
,2526,Heidenheim,30,33,47,1,0,326,329,61,549,314,309,,,1,/en/squads/18d9d2a7/Heidenheim-Stats
,2526,Hoffenheim,26,33,67,2,0,459,280,58,679,269,310,,,0,/en/squads/033ea6b8/Hoffenheim-Stats
,2526,Köln,27,33,63,3,1,279,326,60,626,266,301,,,0,/en/squads/bc357bf7/Koln-Stats
,2526,Leverkusen,28,33,69,2,2,284,347,39,581,245,280,,,1,/en/squads/c7a9f859/Leverkusen-Stats
,2526,Mainz 05,30,33,69,5,1,361,318,78,677,338,308,,,2,/en/squads/a224b06a/Mainz-05-Stats
,2526,RB Leipzig,29,33,51,0,0,308,322,47,558,298,332,,,1,/en/squads/acbb6a5b/RB-Leipzig-Stats
,2526,St Pauli,24,33,52,2,1,321,290,64,564,304,347,,,0,/en/squads/54864664/St-Pauli-Stats
,2526,Stuttgart,26,33,60,2,0,315,387,68,666,273,285,,,1,/en/squads/598bc722/Stuttgart-Stats
,2526,Union Berlin,26,33,68,3,0,411,320,53,662,283,289,,,1,/en/squads/7a41008f/Union-Berlin-Stats
,2526,Werder Bremen,28,33,77,5,3,329,299,56,594,311,339,,,2,/en/squads/62add3bf/Werder-Bremen-Stats
,2526,Wolfsburg,30,33,65,3,2,383,286,39,504,283,341,,,4,/en/squads/4eaa11d7/Wolfsburg-Stats
